n,m,d,b,strategy,mean_gap,std_gap
2511,100,1.0,80,na,14.039999999999997,3.824591481452627
2511,100,1.0,100,na,12.989999999999998,2.118962010041709
2511,100,1.0,1080,na,14.039999999999997,3.2291639784935047
2511,100,1.0,2060,na,13.189999999999998,1.9000000000000001
2674,100,1.0,1,na,14.11,2.650943228362313
2674,100,1.0,20,na,12.76,2.1095023109728985
2674,100,1.0,40,na,13.51,2.3637893307145625
2674,100,1.0,60,na,14.16,2.1886068628239292
2674,100,1.0,80,na,13.76,2.5592967784139455
2674,100,1.0,100,na,13.709999999999999,4.398579316097415
2674,100,1.0,1080,na,13.61,2.669737814842499
2674,100,1.0,2060,na,14.41,2.574393132371201
3340,100,1.0,1,na,15.700000000000006,2.118962010041709
3340,100,1.0,20,na,15.600000000000005,2.32379000772445
3340,100,1.0,40,na,15.150000000000006,2.991237202229205
3340,100,1.0,60,na,14.400000000000002,1.6911534525287764
3340,100,1.0,80,na,14.850000000000003,1.9716744153130354
3340,100,1.0,100,na,15.250000000000005,2.6320144376503714
3340,100,1.0,1080,na,15.750000000000005,2.8683619018526936
3340,100,1.0,2060,na,15.150000000000002,1.5960889699512368
3340,100,1.0,3040,na,15.000000000000005,2.3323807579381204
3981,100,1.0,1,na,16.139999999999997,2.3553131426627756
3981,100,1.0,20,na,17.839999999999996,3.118894034750139
3981,100,1.0,40,na,16.889999999999997,3.1160872901765764
3981,100,1.0,60,na,16.54,3.004579837514723
3981,100,1.0,80,na,16.389999999999997,3.7496666518505353
3981,100,1.0,100,na,16.54,3.021175268004159
3981,100,1.0,1080,na,18.389999999999997,3.854867053479277
3981,100,1.0,2060,na,17.49,3.226453160980336
3981,100,1.0,3040,na,16.74,3.2476914878109957
4006,100,1.0,1,na,17.79,3.6915443922564446
4006,100,1.0,20,na,17.29,3.118894034750139
4006,100,1.0,40,na,16.189999999999998,3.4478254016118624
4006,100,1.0,60,na,16.389999999999997,2.67348087705897
4006,100,1.0,80,na,16.439999999999998,2.7294688127912363
